thumbnail;title;text;category;product_name;page_name;newsposition;store_view;start_date;end_date;status;
breaking-news.jpg;Aaj Tak News Of India;Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text.Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text.;Furniture,Apparel;Gaming Computer,My Computer,HTC Touch Diamond;Home page,About  Us;Left;1,3;1970-01-01;2013-12-29;Enabled;
breaking-news-lloyd-irvin-keenan-jordon-atos1.jpg;India Mirror;Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text.Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text.;Furniture,Apparel;Computer,Gaming Computer,My Computer;Home page;Left;1;1970-01-01;2013-12-30;Enabled;
fox_20news_20logo.jpg;Indian Economics;Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text.Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text.;Furniture,Apparel;Logitech diNovo Edge Keyboard,Computer,Gaming Computer,My Computer;Home page,About  Us,Enable Cookies;Right;0;1970-01-01;2013-12-30;Enabled;
news.jpg;Ncp News for Usa;Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text.Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text.;Furniture,Apparel;Computer,Gaming Computer,My Computer;Home page;Left;1;1970-01-01;2013-12-30;Enabled;
u_117210d_2013-11-28-19-36-18f_latest_news_greekshares.jpg;Times of India;Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text.Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text.;Furniture,Apparel;Computer,Gaming Computer;Home page;Right;1;1970-01-01;2013-12-30;Enabled;
tv_and_newspaper_news_topix_forums_abuse_and_harm.jpg;US Times;Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text.Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text.;Furniture,Apparel;Microsoft Natural Ergonomic Keyboard 4000,Logitech diNovo Edge Keyboard,Computer,My Computer;Home page;Center;0;1970-01-01;2013-12-31;Enabled;
u_117210d_2013-11-28-19-36-18f_latest_news_greekshares.jpg;Center News;Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text.Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text.  Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text.  Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text.  Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text.  Loream Ipsum is simply dummy text.;Furniture;My Computer;Home page;Center;0;1970-01-01;2013-12-05;Enabled;
NBC_News_new_logo.png;Uk Times News;Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text.;Furniture;Gaming Computer,My Computer;Home page;Center;1;1970-01-01;2014-01-30;Enabled;
fox_20news_20logo.jpg;News last;Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text. Loream Ipsum is simply dummy text.;Furniture;My Computer;Home page;Center;3;1970-01-01;1970-01-01;Enabled;
stock-market.jpg;Investors breaking FDs to invest in tax-free PSU bonds;ET Bureau Yields of bonds sold by NTPC Housing   and Urban  Development Corp are nearly 3 percentage points more than   FDs, making  them attractive investments.;Electronics;;Home page;Center;0;1970-01-01;2013-12-12;Enabled;
blog6.jpg;testr;thishihis;;;;Left;0;2013-12-06;2014-01-30;Enabled;
